X,Y,OBJECTID,ZoneDesc,CENTROID_X,CENTROID_Y,ZoneName,MeterName
130.83613093437512,-12.461322835233304,163,Zone B ($1.80/hr up to 3 hrs),699564.40514,8621743.1697,ZONE B,ESP137
130.835467950931672,-12.460659045922764,164,Zone B ($1.80/hr up to 3 hrs),699492.832364,8621817.10562,ZONE B,ESP138
130.835225969076077,-12.460619991775561,165,Zone C ($1.30/hr or $7.50/day),699466.55357,8621821.60816,ZONE B,ESP245
130.835071679695943,-12.460274282584171,166,Zone B ($1.80/hr up to 3 hrs),699450.0434,8621859.97116,ZONE B,ESP139
130.834932088817823,-12.460332507333508,167,Zone C ($1.30/hr or $7.50/day),699434.82227,8621853.63452,ZONE B,ESP247
130.834665128393397,-12.459902210170858,168,Zone B ($1.80/hr up to 3 hrs),699406.12686,8621901.44042,ZONE B,ESP140
130.839500748596208,-12.456863191212262,169,Zone B ($1.80/hr up to 3 hrs),699934.19507,8622234.02033,ZONE B,WOO182
130.840209571420814,-12.457601762108755,170,Zone B ($1.80/hr up to 3 hrs),700010.69453,8622151.77544,ZONE B,WOO183
130.840089120626345,-12.45716483561133,171,Zone C ($1.30/hr or $7.50/day),699997.933715,8622200.20495,ZONE B,MCL293
130.84077104174051,-12.458148376471783,172,Zone B ($1.80/hr up to 3 hrs),700071.32008,8622090.87821,ZONE B,WOO184
130.841261544330649,-12.457929580110983,173,Zone B ($1.80/hr up to 3 hrs),700124.81688,8622114.71466,ZONE B,LIN204
130.84155545649304,-12.457639432813769,174,Zone B ($1.80/hr up to 3 hrs),700156.99458,8622146.59324,ZONE B,LIN205
130.843273720789455,-12.459470290307964,175,Zone B ($1.80/hr up to 3 hrs),700342.403748,8621942.74179,ZONE B,MAN195
130.842576611956758,-12.460093840680713,176,Zone B ($1.80/hr up to 3 hrs),700266.133427,8621874.28211,ZONE B,WOO180
130.840616504968722,-12.458127510200878,177,Zone B ($1.80/hr up to 3 hrs),700054.534435,8622093.30316,ZONE B,WOO181
130.842940533261611,-12.459806061472367,178,Zone B ($1.80/hr up to 3 hrs),700305.92083,8621905.84565,ZONE B,WOO194
130.842937389688842,-12.460254752480498,179,Zone B ($1.80/hr up to 3 hrs),700305.23445,8621856.20746,ZONE B,WOO185
130.843471050001369,-12.460193531997342,180,Zone B ($1.80/hr up to 3 hrs),700363.30219,8621862.57775,ZONE B,GAR192
130.843922175820524,-12.459742181289895,181,Zone B ($1.80/hr up to 3 hrs),700412.696494,8621912.17183,ZONE B,GAR193
130.843239956538184,-12.460664995277291,182,Zone B ($1.80/hr up to 3 hrs),700337.815042,8621810.59233,ZONE B,WOO178
130.843379896443651,-12.460683298401522,183,Zone B ($1.80/hr up to 3 hrs),700353.015535,8621808.46174,ZONE B,WOO186
130.844349368162113,-12.460372682913425,184,Zone B ($1.80/hr up to 3 hrs),700458.65727,8621842.09425,ZONE B,KNU189
130.84414650304609,-12.460420225544652,185,Zone B ($1.80/hr up to 3 hrs),700436.564809,8621836.98755,ZONE B,KNU191
130.844053427765004,-12.460664116998226,186,Zone B ($1.80/hr up to 3 hrs),700426.257973,8621810.07523,ZONE B,KNU188
130.843917911978338,-12.460648414321286,187,Zone B ($1.80/hr up to 3 hrs),700411.536483,8621811.91477,ZONE B,KNU190
130.843788471674259,-12.461284702716732,188,Zone B ($1.80/hr up to 3 hrs),700396.974547,8621741.61742,ZONE B,WOO177
