"Type","Longitude","Latitude"
"Zone C ($1.30/hr or $7.50/day)","130.845086603976","-12.4624701967789"
"Zone C ($1.30/hr or $7.50/day)","130.844771859578","-12.4621619045622"
"Zone C ($1.30/hr or $7.50/day)","130.844828204543","-12.4616946717892"
"Zone A ($2.50/hr up to 2 hrs)","130.839850821804","-12.462232617032"
"Zone A ($2.50/hr up to 2 hrs)","130.839588312695","-12.4619892386764"
"Zone A ($2.50/hr up to 2 hrs)","130.839749786564","-12.461981881246"
"Zone A ($2.50/hr up to 2 hrs)","130.840014117073","-12.4622374006227"
"Zone B ($1.80/hr up to 3 hrs)","130.845060004693","-12.4667731933291"
"Zone A ($2.50/hr up to 2 hrs)","130.844704651433","-12.4669184300396"
"Zone B ($1.80/hr up to 3 hrs)","130.844816155097","-12.4670318255163"
"Zone A ($2.50/hr up to 2 hrs)","130.83944899653","-12.4628542625082"
"Zone B ($1.80/hr up to 3 hrs)","130.844168968678","-12.4616534635989"
"Off Street Carpark","130.845850832935","-12.4652064829864"
"Off Street Carpark","130.84570412856","-12.4650639912608"
"Off Street Carpark","130.84560664674","-12.4631671704296"
"Off Street Carpark","130.84102128543","-12.4665152345498"
"Off Street Carpark","130.840933756382","-12.4667938618369"
"Off Street Carpark","130.838034947685","-12.4585438475319"
"Off Street Carpark","130.837964517605","-12.4562648138131"
"Off Street Carpark","130.83575674852","-12.4586072110213"
"Off Street Carpark","130.835854974996","-12.4587024149875"
"Zone B ($1.80/hr up to 3 hrs)","130.835831832616","-12.4591503739395"
"Off Street Carpark","130.835993675033","-12.459159895615"
"Off Street Carpark","130.843506684235","-12.4587091972485"
"Off Street Carpark","130.844685436241","-12.4598516031054"
"Off Street Carpark","130.843899600425","-12.4590899999442"
"Off Street Carpark","130.84429251776","-12.4594708018965"
"Off Street Carpark","130.842465748435","-12.4644711178838"
"Off Street Carpark","130.842356594629","-12.4643653311483"
"Zone A ($2.50/hr up to 2 hrs)","130.838089321099","-12.4613628118694"
"Zone A ($2.50/hr up to 2 hrs)","130.840732016299","-12.4620339927628"
"Zone A ($2.50/hr up to 2 hrs)","130.843152452192","-12.4648988338914"
"Zone A ($2.50/hr up to 2 hrs)","130.843818512618","-12.4644569594058"
